model,type,samples,fairness_considuration_ratio,top_results_to_compare,auc,percision,similarity_between_fair_and_regular_predictions,fairness_score_of_fair_predictions,fairness_score_of_regular_predictions
0,popular,2,0.25,6,0.78,0.28,0.19,1,0.58
0,popular,2,0.25,7,0.78,0.27,0.2,1,0.57
0,popular,2,0.25,8,0.78,0.27,0.23,0.99,0.58
0,popular,2,0.25,9,0.78,0.27,0.24,0.99,0.58
0,popular,2,0.25,10,0.78,0.27,0.26,0.98,0.58
0,popular,3,0.05,1,0.76,0.24,0.95,0.62,0.59
0,popular,3,0.05,2,0.76,0.24,0.93,0.64,0.61
0,popular,3,0.05,3,0.76,0.25,0.91,0.67,0.63
0,popular,3,0.05,4,0.76,0.26,0.9,0.68,0.63
0,popular,3,0.05,5,0.76,0.26,0.89,0.68,0.62
0,popular,3,0.05,6,0.76,0.26,0.9,0.68,0.62
0,popular,3,0.05,7,0.76,0.26,0.9,0.68,0.62
0,popular,3,0.05,8,0.76,0.26,0.9,0.68,0.62
0,popular,3,0.05,9,0.76,0.26,0.91,0.68,0.62
0,popular,3,0.05,10,0.76,0.26,0.9,0.68,0.61
0,popular,3,0.1,1,0.76,0.24,0.84,0.67,0.59
0,popular,3,0.1,2,0.76,0.24,0.74,0.74,0.61
0,popular,3,0.1,3,0.76,0.25,0.79,0.73,0.63
0,popular,3,0.1,4,0.76,0.26,0.79,0.73,0.63
0,popular,3,0.1,5,0.76,0.26,0.8,0.73,0.62
0,popular,3,0.1,6,0.76,0.26,0.78,0.74,0.62
0,popular,3,0.1,7,0.76,0.26,0.79,0.74,0.62
0,popular,3,0.1,8,0.76,0.26,0.8,0.74,0.62
0,popular,3,0.1,9,0.76,0.26,0.81,0.74,0.62
0,popular,3,0.1,10,0.76,0.26,0.8,0.74,0.61
0,popular,3,0.15,1,0.76,0.24,0.34,0.92,0.59
